Namespace(att_dim=50, att_head_num=2, att_layer_num=1, batch_size=128, cpnet_vocab_path='./data/ddb/vocab.txt', cuda=True, dataset='medmcqa', debug=False, decoder_lr=0.001, dev_adj='./data/medmcqa/graph/dev.graph.adj.pk', dev_embs='./data/medmcqa/features/dev.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', dev_statements='./data/medmcqa/statement/dev.statement.jsonl', diag_decompose=True, dropoutf=0.2, dropoutg=0.1, dropouti=0.1, encoder='./LM_models/cambridgeltl--SapBERT-from-PubMedBERT-fulltext', encoder_layer=-1, encoder_lr=5e-05, ent_emb=['ddb'], ent_emb_paths=['./data/ddb/ent_emb.npy'], eps=1e-15, eval_batch_size=4, fc_dim=200, fc_layer_num=0, fix_trans=False, format=[], freeze_ent_emb=True, gamma=1.0, gnn_dim=100, gnn_layer_num=4, inhouse=False, inhouse_train_qids='./data/medmcqa/inhouse_split_qids.txt', init_identity=True, init_range=0.02, init_rn=True, log_interval=20, loss='cross_entropy', lr_schedule='fixed', max_epochs_before_stop=10, max_grad_norm=1.0, max_node_num=200, max_seq_len=128, mini_batch_size=2, mode='train', n_epochs=100, num_basis=0, num_relation=30, optim='radam', preds_dir='./preds_res/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', refreeze_epoch=10000, save_dir='./saved_models/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', seed=0, simple=False, subsample=1.0, test_adj='./data/medmcqa/graph/test.graph.adj.pk', test_embs='./data/medmcqa/features/test.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', test_statements='./data/medmcqa/statement/test.statement.jsonl', train_adj='./data/medmcqa/graph/train.graph.adj.pk', train_embs='./data/medmcqa/features/train.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', train_statements='./data/medmcqa/statement/train.statement.jsonl', unfreeze_epoch=0, use_contextualized=False, warmup_steps=50, weight_decay=0.01)
| num_concepts: 9958 |

loading adj matrices:   0%|          | 0/731288 [00:00<?, ?it/s]/mnt/zm/DRLK/utils/data_utils.py:256: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at  /pytorch/aten/src/ATen/native/IndexingUtils.h:30.)
  node_type_ids[idx, :num_concept][torch.tensor(
/mnt/zm/DRLK/utils/data_utils.py:258: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at  /pytorch/aten/src/ATen/native/IndexingUtils.h:30.)
  node_type_ids[idx, :num_concept][torch.tensor(

loading adj matrices:   0%|          | 682/731288 [00:00<01:47, 6811.66it/s]
loading adj matrices:   0%|          | 1371/731288 [00:00<01:46, 6852.16it/s]
loading adj matrices:   0%|          | 2058/731288 [00:00<01:46, 6855.91it/s]
loading adj matrices:   0%|          | 2744/731288 [00:00<01:48, 6729.08it/s]
loading adj matrices:   0%|          | 3418/731288 [00:00<01:48, 6684.07it/s]
loading adj matrices:   1%|          | 4087/731288 [00:00<01:49, 6628.14it/s]
loading adj matrices:   1%|          | 4750/731288 [00:00<01:50, 6596.33it/s]
loading adj matrices:   1%|          | 5410/731288 [00:00<01:50, 6566.35it/s]
loading adj matrices:   1%|          | 6067/731288 [00:00<01:50, 6564.10it/s]
loading adj matrices:   1%|          | 6724/731288 [00:01<01:50, 6545.55it/s]
loading adj matrices:   1%|          | 7379/731288 [00:01<01:50, 6534.13it/s]
loading adj matrices:   1%|          | 8033/731288 [00:01<01:50, 6524.11it/s]
loading adj matrices:   1%|          | 8687/731288 [00:01<01:50, 6527.32it/s]
loading adj matrices:   1%|▏         | 9340/731288 [00:01<01:50, 6506.87it/s]
loading adj matrices:   1%|▏         | 9995/731288 [00:01<01:50, 6517.42it/s]
loading adj matrices:   1%|▏         | 10647/731288 [00:01<01:50, 6497.22it/s]
loading adj matrices:   2%|▏         | 11297/731288 [00:01<01:51, 6482.09it/s]
loading adj matrices:   2%|▏         | 11946/731288 [00:01<01:50, 6484.06it/s]
loading adj matrices:   2%|▏         | 12595/731288 [00:01<01:50, 6484.84it/s]
loading adj matrices:   2%|▏         | 13244/731288 [00:02<01:51, 6458.02it/s]
loading adj matrices:   2%|▏         | 13890/731288 [00:02<01:51, 6456.75it/s]
loading adj matrices:   2%|▏         | 14536/731288 [00:02<01:51, 6449.32it/s]
loading adj matrices:   2%|▏         | 15185/731288 [00:02<01:50, 6460.53it/s]
loading adj matrices:   2%|▏         | 15832/731288 [00:02<01:50, 6460.08it/s]
loading adj matrices:   2%|▏         | 16483/731288 [00:02<01:50, 6474.65it/s]
loading adj matrices:   2%|▏         | 17134/731288 [00:02<01:50, 6484.55it/s]
loading adj matrices:   2%|▏         | 17783/731288 [00:02<01:50, 6469.21it/s]
loading adj matrices:   3%|▎         | 18430/731288 [00:02<01:50, 6468.54it/s]
loading adj matrices:   3%|▎         | 19077/731288 [00:02<01:50, 6459.13it/s]
loading adj matrices:   3%|▎         | 19723/731288 [00:03<01:50, 6435.94it/s]
loading adj matrices:   3%|▎         | 20376/731288 [00:03<01:50, 6460.99it/s]
loading adj matrices:   3%|▎         | 21023/731288 [00:03<01:49, 6461.09it/s]
loading adj matrices:   3%|▎         | 21670/731288 [00:03<01:50, 6438.98it/s]
loading adj matrices:   3%|▎         | 22320/731288 [00:03<01:49, 6454.76it/s]
loading adj matrices:   3%|▎         | 22967/731288 [00:03<01:49, 6457.88it/s]
loading adj matrices:   3%|▎         | 23614/731288 [00:03<01:49, 6458.84it/s]
loading adj matrices:   3%|▎         | 24260/731288 [00:03<01:49, 6447.27it/s]
loading adj matrices:   3%|▎         | 24905/731288 [00:03<01:49, 6439.61it/s]
loading adj matrices:   3%|▎         | 25551/731288 [00:03<01:49, 6444.27it/s]
loading adj matrices:   4%|▎         | 26196/731288 [00:04<01:49, 6430.35it/s]
loading adj matrices:   4%|▎         | 26842/731288 [00:04<01:49, 6437.10it/s]
loading adj matrices:   4%|▍         | 27486/731288 [00:04<01:49, 6436.89it/s]
loading adj matrices:   4%|▍         | 28130/731288 [00:04<01:49, 6418.04it/s]
loading adj matrices:   4%|▍         | 28772/731288 [00:04<01:49, 6415.98it/s]
loading adj matrices:   4%|▍         | 29415/731288 [00:04<01:49, 6418.38it/s]
loading adj matrices:   4%|▍         | 30057/731288 [00:04<01:49, 6390.23it/s]
loading adj matrices:   4%|▍         | 30697/731288 [00:04<01:49, 6376.44it/s]
loading adj matrices:   4%|▍         | 31335/731288 [00:04<01:49, 6365.11it/s]
loading adj matrices:   4%|▍         | 31972/731288 [00:04<01:49, 6364.25it/s]
loading adj matrices:   4%|▍         | 32609/731288 [00:05<01:50, 6345.36it/s]
loading adj matrices:   5%|▍         | 33247/731288 [00:05<01:49, 6354.03it/s]
loading adj matrices:   5%|▍         | 33885/731288 [00:05<01:49, 6359.71it/s]
loading adj matrices:   5%|▍         | 34521/731288 [00:05<01:49, 6342.04it/s]
loading adj matrices:   5%|▍         | 35156/731288 [00:05<01:49, 6332.56it/s]
loading adj matrices:   5%|▍         | 35791/731288 [00:05<01:49, 6337.46it/s]
loading adj matrices:   5%|▍         | 36425/731288 [00:05<01:49, 6327.96it/s]
loading adj matrices:   5%|▌         | 37058/731288 [00:05<01:49, 6316.56it/s]
loading adj matrices:   5%|▌         | 37691/731288 [00:05<01:49, 6319.36it/s]
loading adj matrices:   5%|▌         | 38326/731288 [00:05<01:49, 6328.45it/s]
loading adj matrices:   5%|▌         | 38959/731288 [00:06<01:49, 6313.67it/s]
loading adj matrices:   5%|▌         | 39595/731288 [00:06<01:49, 6324.40it/s]
loading adj matrices:   6%|▌         | 40228/731288 [00:06<01:49, 6325.66it/s]
loading adj matrices:   6%|▌         | 40861/731288 [00:06<01:49, 6301.54it/s]
loading adj matrices:   6%|▌         | 41493/731288 [00:06<01:49, 6305.74it/s]
loading adj matrices:   6%|▌         | 42124/731288 [00:06<01:49, 6304.63it/s]
loading adj matrices:   6%|▌         | 42755/731288 [00:06<01:49, 6294.32it/s]
loading adj matrices:   6%|▌         | 43385/731288 [00:06<01:49, 6286.08it/s]
loading adj matrices:   6%|▌         | 44014/731288 [00:06<01:49, 6267.10it/s]
loading adj matrices:   6%|▌         | 44641/731288 [00:06<01:49, 6248.44it/s]
loading adj matrices:   6%|▌         | 45266/731288 [00:07<01:50, 6227.85it/s]
loading adj matrices:   6%|▋         | 45891/731288 [00:07<01:49, 6233.81it/s]
loading adj matrices:   6%|▋         | 46515/731288 [00:07<01:50, 6216.19it/s]
loading adj matrices:   6%|▋         | 47139/731288 [00:07<01:49, 6222.67it/s]
loading adj matrices:   7%|▋         | 47762/731288 [00:07<01:49, 6223.03it/s]
loading adj matrices:   7%|▋         | 48385/731288 [00:07<01:49, 6213.18it/s]
loading adj matrices:   7%|▋         | 49007/731288 [00:07<01:50, 6168.78it/s]
loading adj matrices:   7%|▋         | 49624/731288 [00:07<01:51, 6136.89it/s]
loading adj matrices:   7%|▋         | 50238/731288 [00:07<01:51, 6123.70it/s]
loading adj matrices:   7%|▋         | 50851/731288 [00:07<01:51, 6083.15it/s]
loading adj matrices:   7%|▋         | 51467/731288 [00:08<01:51, 6105.36it/s]
loading adj matrices:   7%|▋         | 52092/731288 [00:08<01:50, 6147.35it/s]
loading adj matrices:   7%|▋         | 52722/731288 [00:08<01:49, 6192.29it/s]
loading adj matrices:   7%|▋         | 53342/731288 [00:08<01:49, 6191.25it/s]
loading adj matrices:   7%|▋         | 53972/731288 [00:08<01:48, 6221.93it/s]
loading adj matrices:   7%|▋         | 54598/731288 [00:08<01:48, 6232.60it/s]
